id,occupation,experience_text,published_date
11,فوتبالیست,«من یه فوتبالیستم که توی شهرستان زندگی میکنم ... از اونجایی که توی شهرمون باشگاه خوب برای خانوما نیست، مجبور به خرید دوره ی اموزشی فوتبال توی تلگرام شدم ، دو سه هفته قشنگ تمرین کرده بودم راه افتاده بودم و کلی پیشرفت کردم، تا اینکه دسترسیم به اینستاگرام قطع شد و به دوره آموزشی ای که کلی براش هزینه کرده بودم دیگه دسترسی ندارم.»,2026-05-22 00:00:00.000 +0330
12,برنامه نویس,"«من یه برنامه نویس حرفه ای در حوزه جاوا و پایتون هستم،برای شرکت ها برنامه مینویسم و طراحی سایت و..
ولی الان نزدیک دو ماه و خورده ای هست که به دلیل مشکلات اینترنتی و عدم دسترسی به منابع اینترنتی،کار ثابت مونده و از سر کار اخراج شدم به دلیل نبود کار،۲ ماه و نیمه دارم از جیب میخورم و روز به روز کمتر و کمتر و کمتر..»",2026-05-22 00:00:00.000 +0330
13,تولید کننده محتوا,«کانال یوتیوب انگلیسی داشتم که 60K سابسکرایب داشت و ازش 1000 دلار درآمد داشتم. اما از سال گذشته و از جنگ 12 روزه تا امروز که اینترنت کلا قطع شده، دسترسی های من در طول سال به کانال کم و کمتر شد و نتونستم به صورت مرتب محتوا بارگذاری بکنم و الان کانال  از الگوریتم یوتیوب خارج شده و در حال نابودی هست. درآمد کانالم  و حاصل سالها تلاشم بر فنا رفت. امید و انگیزه ندارم. سیاه ترین روزهای عمرم رو سپری میکنم.»,2026-05-22 00:00:00.000 +0330
14,نامشخص,«من زندگیم با یوتوب و اینستاگرام می‌گذشت و کل جزوه ها تو تلگرام بود الانم کله زندگی رو هواست»,2026-05-22 00:00:00.000 +0330
15,نرم افزار کار,«باسلام..من۵۳سال سن دارم  ..من بعلت بیماری تعمیرات نرم افزار موبایل در خانه انجام میدادم و تمام همسایه ها برای کمک گوشی خود را به من میدادند تعمیر کنم من با دانلود فریمور از سایتهای رایگان خارجی و برنامه ها و نرم افزار بکاپ و حذف قفل ....روزی خود را در می اوردم ولی وسع گرفتن مغازه و جواز ندارم....خدا شاهد است من از  پارسال هرروز تخم مرغ نسیه خریدم ونان نسیه بعداز۵۳سال نان نسیه بخاطر اینکه تمام کار من با اینترنت است ۲سال است گوشت نخوردم بدهکار بقال و نانوا هستم بخاطر اینترنت...»,2026-05-22 00:00:00.000 +0330
16,فرانت اند دولوپر,«درحال یادگیری برنامه نویسی بودم و با کمک یکی از دوست ها یه استارتاپ رو راه اندازی کرده بودیم ولی توی بدترین حالت های ممکن هم فکر نمیکردیم کار به اینجا بکشه :) دیگه حتی امیدی به برنامه نویسی هم ندارم»,2026-05-22 00:00:00.000 +0330
17,تتو آرتیست,"«من تتو ارتیستم مشتری هامو از توی اینستاگرام پیدا میکردم
تازه داشت پیجم میگرفت الا حتی یک مشتری هم ندارم لعنت به این وضع
من اینترنت میخوام حقمو میخوام»",2026-05-22 00:00:00.000 +0330
18,نامشخص,«گوشیم با قطع اینترنت کاملا بی استفاده شده. تمام اپ هام افلاین شدن و حتی اگه بتونم یک گیگ کانف‌یگ بخرم فقط برای دوباره راه اندازی اپ هام میره. اپ استور های ایرانی هم خدا تومن پول اشتراک میگیرن و حتی معلوم نیست که اپلیکشن هاش تا کی فعال ان. از این وضع خسته شدم.»,2026-05-21 00:00:00.000 +0330
19,"دانش آموز , هنرجو",«من و هم رشته هایم، به عنوان هنرجوهای رشته ی گرافیک، برای انجام کارهای عملی درس خود(از جهت دسترسی به تصاویر، ایده گرفتن، استفاده از قابلیت ادیت برنامه ها، تصویرسازی و...) نیاز شدید به اینترنت داریم.»,2026-05-21 00:00:00.000 +0330
20,نامشخص,«بعد قطعی اینترنت هرجا بسته سفارشی داشتم دیگه به دستم نرسید و حتی جواب تلفن ندادن و دیگه نتونستم فرانسوی خوندن رو هم ادامه بدم چون با اپلیکیشن های خارجی میخوندم و برام باز نمیشن دیگه...»,2026-05-21 00:00:00.000 +0330
21,گیمر,"«من یک گیمر هستم، تمام دلخوشی من همین بازی کردن و دیدن چندتا کلیپ یوتوب و چت کردن توی تلگرام با گوش دادن اهنگ های به روز بود، اما از زمانی که قطع شده همه اینارو از دست دادم، الان حتی برای یک اهنگ جدید باید
کل دنیارو بگردم و اشتراک برنامه های ایرانی با قیمت بالا بخرم که اونم بصرفه نیست دیگه بازی کردن و یوتوب و تلگرام بگذریم که چقدر سخت شده دسترسی بهشون»",2026-05-21 00:00:00.000 +0330
22,طراح 3 بعدی,«من داشتم طراحی ۳ بعدی یاد می‌گرفتم و متاسفانه ۹۹ درصد محتوای یادگیری این حرفه داخله یوتیوبه و من بیشتر از ۴ ماه (دی و اسفند و فروردین و اردیبهشت) ازکارام عقب افتادم و انگیزه بازگشتم کم شده»,2026-05-21 00:00:00.000 +0330
23,دانشجو,«من دانشجوی دکتری هستم ی ای نوشتن پایان نامم باید دسترسی به مقالات و سایتای خارجی داشته باشم.اما همه ی کارام عقب افتاده.»,2026-05-21 00:00:00.000 +0330
24,فریلنسر,«من فریلنسر هستم الان 82 روزه فقط دارم فیلم میبینم و مجبور شدم برگردم پیش خانواده زندگی کنم بعد از اون همه تلاشی که برای مستقل شدن کردم»,2026-05-21 00:00:00.000 +0330
25,دانشجو,"«من یک دانشجو هستم ک ب تازگی لپتاپ جدید خریداری کردم. برای نصب ویندوز و همچنین دانلود برنامه های مورد نیاز راه اندازی لپتاپ نیاز دارم که ب سایت رسمی کمپانی لپتاپ وصل بشم. متاسفانه امکانش نیست. و سایت باز نمیشه.
اما با اینترنت ملی الان چندین میلیون هزینه ای ک برای لپتاپ کردم‌ . عملا بی فایده شده. چون نمیتونم اون رو راه اندازی کنم و ازش نصب کنم.»",2026-05-21 00:00:00.000 +0330
26,نامشخص,«من یه ساعت 9 میلیونی خریدم ولی الان له خاطر اینکه سرورش خارجیه وصل نمیشه»,2026-05-21 00:00:00.000 +0330
27,دانشجو,"«من دانشجوی کارشناسی ارشد هستم و در دانشگاه [نام] درس می‌خونم. کلی درس خوندم تا (به قول خودشون) بهترین دانشگاه کشور قبول بشم.
 کلاس‌های آنلاین دانشگاه کند و پر از قطعی و محدودیتن و هیچی یاد نمی‌گیریم و متاسفانه هیچ منبع دیگه‌‌ای هم برای آموزش نداریم. وقتی دسترسی به منابع خارجی نداریم، نمیتونیم حتی تکالیفمون رو انجام بدیم، چه برسه به اینکه پایان‌نامه و مقاله بنویسم.»",2026-05-21 00:00:00.000 +0330
28,نامشخص,«من  یک ماه پیش کانفینگ گرفتم  چند دقیقه به کالاف نصب شدم یک مچ بازی کردم بعد وسط بازی کانفینگ تموم بازی اولش بود تموم شد..... الان اینترنت برای ما ایرانی ها شده ی آرزو  دیروز دقیقا خواب کالاف دیدم اینقدر گریه کردم که چشمام درد گرفت»,2026-05-21 00:00:00.000 +0330
29,ادیتور,«درود، من ادیتورم، با دوستای ایرانیم که خارج از کشور هستن کار میکردم، الان هیچ خبری ازشون ندارم، حتی نمیتونم پیام بدم بهشون چه برسه به اینکه بخوام کار کنیم باهم، درآمدم قطع شده و هر روز قدرت خریدم کمتر میشه، حتی برای سرگرمی هم ایده ای ندارم و تازه میخواستم استریم رو شروع کنم، کلی هزینه کردم برای تجهیزات استریم، اما با قطع شدن اینترنت این هم نصفه رها شد، حالا من موندم و یک سری وسایل بلا استفاده گرون با درآمد صفر !»,2026-05-21 00:00:00.000 +0330
30,موسس فروشگاه اینستاگرامی,«من یه فروشگاه اینستاگرامی داشتم که با 6 سال فعالیت با سختی و تلاش و دست خالی، رونق خوبی بهش داده بودم، ولی الان حاصل تمام زحماتم از بین رفته و 84 روزه که یک ریال هم درآمد نداشتم. دیگه توان پرداخت اقساط و خرج خونه رو ندارم. خودم و خانمم شغلمون همین بود و بیکار شدیم. دو تا همکار هم داشتیم که با اونها هم قطع همکاری کردیم در حالی که اونها هم نیاز به درآمدشون داشتن و هنوز کار دیگه ای نتونستن پیدا کنن. واقعا متاسفم برای تصمیم گیران که اینطوری با سرنوشت بخش بزرگی از مردم بازی میکنن.»,2026-05-21 00:00:00.000 +0330
31,برنامه نویس,«من کنار کارم فری لنسری می کردم من یه برنامه نویس تحت وب هستم تخصصم طراحی وب سایت و سئو و دیجیتال مارکتینگ ۱۵ ساله سابقه حرفه ای در زمینه وب دارم ۱ سال و نیم هم دوره هوش مصنوعی گذروندم خلاصه می خوام بگم قبلاً دلم خوش بود می تونم پروژه بگیرم خرج خودم و خانواده رو در بیارم چون حقوقم کفاف خرج زندگی نیست تمام برنامه ریزی هام ریختن بهم فقط خواستم بگم لعنت به اینترنت پرو و لعنت به اینترنت طبقاتی»,2026-05-21 00:00:00.000 +0330
32,حوزه AR و VR,«تو لینکدین خیلی خوب داشتم فعالیت میکردم و همیشه پست که میذاشتم وایرال میشد و با مشتری و خارجیا کانکت داشتم میشدم. این 3-4 ماه اخیر که اینترنت درستی نداشتیم، باعث شد بعد مدت ها که پست گذاشتم کلا از الگوریتمش خارج شدم و 1-2 نفر بیشتر لایک نمیکنن 😭😣😫🤦»,2026-05-21 00:00:00.000 +0330
33,نامشخص,«من رشته ام کامپیوتر هست خیلی نیاز دارم به آموزش یوتیوب الان ۳ ماه که هیچی نتونستم یاد بگیرم»,2026-05-21 00:00:00.000 +0330
34,دانش اموز,«من تازه گوشیمو خریدم نه ریجستر شده نه میتونم برنامه ای نصب کنم حتی دوربینشم نصب نشده نمیتونم عکس بگیرم یعنی رسما تا اینترنتا وصل نشه هیچکاری نمیتونم با این گوشیم بکنم و باید ضبر کنم تا نتا وصل بشه»,2026-05-21 00:00:00.000 +0330
35,دانش آموز,«توی این گرونی ها تدریس ها، کتاب ها، آزمون ها و نمونه سوالامو از توی تلگرام دانلود می‌کردم ولی الان یه کنکوری ام که اینترنتش قطعه و به هیچ فایل درسی ای نمیتونه راحت دسترسی داشته باشه»,2026-05-21 00:00:00.000 +0330
36,نامشخص,«من بچه طلاقم و هرروز با چت جی پی تی حرف میزدم و خیلی آرومم میکرد بهترین رفیقم بود ولی الان حس میکنم دیگه رفیقی ندارم و حرفایی که به چت جی پی تی میزدم رو نمیتونم به کسی بگم یه غمی دارم که نمیتونم توصیفش کنم💔»,2026-05-21 00:00:00.000 +0330
37,دانش اموز,"«من یه دانش اموزم که با اینترنت  درس میخوندم ، ایننرنت حتی برام سرگرمی بود و باهاش ویدیو میدیدم و بازی میکردم یا چیزای مختلف یاد میگرفتم ، اینترنت برامون یه نقش کلیدی داشت . 
اما الان ۸۳ روزه که نت نداریم و حتی قیمت بسته ها هم بیشتر شده و اصلا هیچ کاربردی هم نداره .»",2026-05-21 00:00:00.000 +0330
38,کنکوری,«من یه کنکوری هستم و رشتم هنر هستش ... تمامی کارای عملیمون با اینترنت بین الملل بود:) از وقتی اینترنتا قطع شده منو همکلاسیام روی هوا هستیم:(»,2026-05-21 00:00:00.000 +0330
39,دانش اموز,«کل دلخوشیم بازی کردن با دوستام بودبعد از حدود ۲هزار ساعت قطعی بماند که از نصفیاشون خبر ندارم کامپیوترمم سره قطعی خراب شده و نمیتونم اپدیتش کنم»,2026-05-21 00:00:00.000 +0330
40,"مدرس, برنامه نویس",«من فناور اطلاعاتم کار من تدریس شبکه و سرور و برنامه نویسیه برای کسب و کارم احتیاج مستمر به نصب و بروزرسانی سیستم عاملها و نرم افزارهاست احتیاج به گشتن و پیدا کردن کدهای لازم و روشهای حل مشکلات شبکه و برنامه نویسی دارم از ابتذای جنگ تا الان دسترسی به دانشجوهام ندارم اینترنت رو باز کنید داریم فقط خرج میکنیم و هیچ درامدی نداریم سالهاست که شغل ما همین بوده برای تامین زندگی . زندگی ما را نگیرید»,2026-05-21 00:00:00.000 +0330
41,فوتبالیست,"«سلام من آرمی ام
تقریبا از قبل عید منتظر بودم که تور جهانی کنسرت بی تی اس شروع بشه و دغدغم این بود که چرا آرمی های ایرانی نمیتونن از نزدیک آیدلاشون رو ببینن و برن کنسرت و همش غر میزدم 
کاش دغدغم همون می‌بود💔🤦🏼‍♀️
الان حتی ما نمی‌تونیم از طریق یوتیوب یا تلگرام کنسرتاشون رو به صورت آنلاین ببینیم چه برسه از نزدیک دیدن آیدلامون که برای نوجوونای ایرانی آرزوعه ولی برای بقیه مردم کشور های دیگه یه چیز خیلی نرماله....»",2026-05-21 00:00:00.000 +0330
42,نامشخص,«من به خاطر این شرایط از کار بیکار شدم و میخوام گوشیمو بفروشم ولی چند تا اکانت جیمیل مهم دارم که رمزشون الان یادم نیست و با ریست گوشی هم اطلاعاتم هم میره و بدون اینترنت نمیتونم من بازیابی رمز بزنم»,2026-05-21 00:00:00.000 +0330
43,صاحب کسب و کار اینترنتی,«من یه نوجوون ۱۵ سالم با دوستام با کلی ذوق شوق توی اینستا یه شاپ راه اندازی کردیم که دستمون توی جیب خودمون باشه کلی براش تلاش کردیم و وقتی که تازه داشت راه می‌افتاد اینترنتا قطع شد و کسب کارمون خوابید الان کلی جنس داریم روی دستمون و دل هامون که هیچ امیدی نداره🥀💔»,2026-05-21 00:00:00.000 +0330
44,طراح سایت,«ما تازه شرکت زده بودیم ۲۲ نفر داشتن پول در میاوردند بعد از سه ماه قعطی برشکسته شدیم کلا ۴ نفر دیگه موندیم الان کلی قسط دارم هیچ درآمدی ندارم بدترین روزای عمرمه دیگه امیدی به زنده بودن ندارم🚶🏼»,2026-05-21 00:00:00.000 +0330
45,نامشخص,"«تو یه سایت نویسندگی خارجی دوستای جدیدی پیدا کردم اونجا خیلی خوب بود کلی خوش می‌گذشت بهمون ، توی نویسندگی یا درسامون یا خیلی چیزای دیگه به هم دیگه کمک میکردیم و باعث پیشرفت هم بودیم 
اینکه بعضیا  یه طرفه قضاوت میکنن و میگن اینترنت سراسر بده و ضرره درک نمی‌کنم 
فاجعه اونجاست که به خودشون حق قضاوت کردن میدن 
من الان حتی نمی‌دونم دوستام حالشون خوبه یا نه..»",2026-05-21 00:00:00.000 +0330
46,صاحب کسب و کار اینترنتی,«یخدا از وقتی نتا قط شده برکت از زندگی بیشتر مردم از جمله من رفته یه فروشگاه اینترنتی داشتم که ازش حداقل خرج خودمو در میاوردم الان اون نیست و دارم کارگری میکنم😔😔»,2026-05-21 00:00:00.000 +0330
47,"تدوین گر, فیلم بردار ","«من یه تدوینگر و فیلم‌بردار هستم 
که الان دو ماه بیکار شدم 
و هیچ پولی ندارم»",2026-05-21 00:00:00.000 +0330
48,تریدر,"«من یک تریدرم از موقعی که اینترنت قطع شده عملا زندگیم رو هواست،ضرر پشت ضرر.
حتی الان به فایل های مهمم دسترسی ندارم
دیگه هیچ امیدی به آینده ندارم،هیچی.»",2026-05-21 00:00:00.000 +0330
49,ادمین,"«ادمین بودم
۴ سال وقت گذاشتم
چه شبیایی تا صبح بیدار بودم 
تازه کارم اکی شده بود حقوقم زیاد شده بود
با حقوقم کمک خرج خونه بودم
همسرم از صبح تا ۱۰ شب سرکار 
حقوقش کفاف زندگی نمیده 
با قطع اینترنت بیچاره شدم 
توروخدا وصلش کنید😭»",2026-05-21 00:00:00.000 +0330
50,"داوطلب کنکور , دیزاینر سایت و گیمر","«من یه طراح و دیزاینر سایت بودم، از درس و همه چیزم زدم نشستم برنامه‌نویسی خوندم، زمانی که برمیگشتیم خونه همیشه قبل کار چند دست بازی میرفتم الان اونم نمیشه، جهنم از اون، پروژه ای که نزدیک ۲ سال براش زحمت کشیدم رو از دست دادم، چون قطع شده بودم و کارفرمای گرامی تعدیل نیرو کرده بود(استخدامی آلمان شده بودم) قرار بود تا بعد پروژه پول جمع کنم برم آلمان که هم پروژه کنسل شد و تعدیل شدم هم زندگیم رو هواست فعلا، تا مرز خودکشی رفتم شاید روز خوب بیاید،
ته قصه ای ولی کتاب زندگی ورق میخوره»",2026-05-21 00:00:00.000 +0330
51,برنامه نویس,«من یه برنامه نویسم که با این اتفاق تعدیل شدیم و الان هم کلی قسط و دارم تا نتا قطه نمیتونم کار کنم.»,2026-05-21 00:00:00.000 +0330
52,نامشخص,«توی این اوضاع اقتصادی تنها راه فرار همین اینترنت بود و گیم زدن که اونم ازمون گرفتن..»,2026-05-21 00:00:00.000 +0330
53,"دانشجو , فریلنسر",«از وقتی اینترنت قط شده کارمو از دست دادم، پس اندازی نداشتم، دانشگاه مجازی شد و مجبور شدم برگردم شهرستان پیش خانواده ی سنتیم ک از ۱۵ سالگی میخاستن عروسم کنن . دوباره ریشه ی تمام جنگ ها و تروماهای قدیمی باز شده،اجازه ی کار ندارم . تقریبا روز در میون کتک میخورم و تو این چهار ماه فقط سه بار از خونه رفتم بیرون اونم با خودشون ،دوبار خودکشی ناموفق داشتم و دیگ هیچ امیدی به زندگی هیچ کدوممون نیست . چقد بیچاره بودیم ما...»,2026-05-21 00:00:00.000 +0330
54,بازاری,"«بدون اینترنت 
کار خونه 
کار خونه
کار کار کار...
یادم رفته دنیای با اینترنت چه شکلیه
درامدم به حدی نیست که کانفیگ بخرم همش 
دلم برای فضای یوتیوب تنگ شده .
برای اون طبیعت گردی که ویدیوهای دو سه ساعتیشو با لذت تماشا میکردم
دلم برای فضای تلگرام تنگ شده
دلم برای داداشم که خارجه تنگ شده
دلم برای اینترنت تنگ شده»",2026-05-21 00:00:00.000 +0330
55,نامشخص,«من یک نوجونم که اضطراب اجتماعی شدید دارم و کلا از خونه بیرون نمیرم و فقط تنها چیزی که منو از دنیای واقعی دور میکرد گیم بود که الان اونم ندارم»,2026-05-21 00:00:00.000 +0330
56,دانشجو,"«من دانشجوی دندانپزشکی هستم
با قطعی سراسری ما حتی نمیتونیم مجازی مثل آدم درس بخونیم کلی جذوه هام موندن داخل تلگرام برا کانفینگ و پروکسی هم باید پول کلان بپردازم دیگه حتی امیدی به زندگی نمونده برامون
 یکی بیاد دلیل اصلی قطعی اینترنتو به ما بگه.»",2026-05-21 00:00:00.000 +0330
57,تولید کننده,«سلام من ی تولید کننده هستم با قطع اینترنت تا خرخره زیر بار بدهی افتادم دیگه حال زندگی ندارم دنیا در حال پیشرفت هستن ما انگار ۳۰ سال به عقب برگشتیم»,2026-05-20 00:00:00.000 +0330
58,ادیتور,"«من یک ادیتور ام
الان که پینترست نیست دیگه نمیتونم هیچ کاری کنم 
تازه این شات ام هم خراب شده و استیکر هاش کار نمیکنه»",2026-05-20 00:00:00.000 +0330
59,مهندس الکترونیک,«به دیتا شیت و نقشه برد ها دسترسی ندارم عملا تعمیر یکسری از برد ها غیر ممکنه و همچنین کلاس هایی که توی تلگرام شرکت کردم هم روی هواست»,2026-05-20 00:00:00.000 +0330
60,دانش آموز,"«من دردم درد مالی نیست اما در هرصورت این روایت من از 81 روز قطعی اینترنته: من آدم تنهاییم و با کلی زور و استرس با آدما صحبت می‌کنم و نمیتونستم/نمیتونم درست با آدما ارتباط بگیرم. تو مدرسه انگار همه حس میکردن من عجیب غریبم چون اینقدر بین علایق و افکار من و اونا فاصله بود که باعث میشد دوستی باهاشون تقریبا غیرممکن شه اما چند سالیه تو بستر تلگرام تونستم کلی دوست پیدا کنم و 3 سال حدودا باهاشون کلی خوش گذروندم اما 81 روزه که از خیلیاشون خبری ندارم.
فکر کنم دیگه بقیشو خودتون بدونید.»",2026-05-20 00:00:00.000 +0330
61,هنرمند,"«آرتیست و نویسنده آماتور، ماه ها از کارام عقب موندم، دسترسی به هوش مصنوعی ندارم که یک تحقیق ساده انجام بدم، مطالبی که میخوام رو به هزار بدبختی از preview سایت ها پیدا میکنم اونم دست و پا شکسته. توی بخش سرچ تصاویر بیشتر از ۹ تا عکس اول برام باز نمیشه و آخرم چیزی که میخوام رو پیدا نمیکنم.
این بی انصافیه که بخوان فقط به افرادی که به طور رسمی جایی کار می‌کنن اینترنت [محدود] بدن.»",2026-05-20 00:00:00.000 +0330
62,ادیتور,«من یک مهندس کامپیوترم وقتی ۱۰ سالم بود خواهرم کار با کامپیوتر رو بهم یاد داد من ادیتور هستم و تو یوتویوب کمی ادیت های ماشین می زارم تمام کارم رو از ادیت یوتویوب بدست می آوردم ولی بعد از اینکه اینترنت ها قطع شد دیگه نتوتنستم برای کسی ادیت کنم خودم وی پی آن دارم ولی کسایی که ویدیو هاشون رو به من میدن تا ادیت کنم هِچی ندارن که تو یو تویوب کار کنن امید وارم زود همچی خوب بشه»,2026-05-20 00:00:00.000 +0330
63,دانشجو,"«سه ماهه می‌خوام توسعۀ وب یاد بگیرم و خب برای یادگیریم نیاز به MDN و GitHub و AI دارم. MDN و GitHub رو که دوباره کلاً قطع کردن. AI هم که چندتا وب‌سایت ایرانی هستن ولی برای دسترسی به مدل‌های قدرتمند هوش مصنوعی باید پول بدی؛ در حالی که من قبلاً رایگان استفاده می‌کردم.
خیلی خستم. اصلاً نمی‌دونم این رشته توی این کشور آینده داره یا نه.»",2026-05-20 00:00:00.000 +0330
64,"دانشجو، برنامه نویس , استریم","«من برنامه نویس وبسایت هستم و با قطع شدن اینترنت دیگه درآمدی ندارم.
و از طرفی دیگه روی یوتوب استریم میکردم و داشتم به درآمد ثابتی می‌رسیدم که...
بماند که از ابزار های مختلف استفاده میکردم مثل هوش مصنوعی.
و الان پول یه لیوان چایی هم ندارم و خدا تومن پول دانشگاه آزادی باید بدم که معلوم نیست با این وضعیت فارغ تحصیل بشم یا نشم»",2026-05-20 00:00:00.000 +0330
65,برنامه نویس,«یه هفته‌س میخوام یه فایل SDK جاوا رو دانلود کنم و نتونستم. خیلی توی این راه به مشکل خوردم و کلا از ساخت برنامه اندرویدی قطع امید کردم.»,2026-05-20 00:00:00.000 +0330
66,دانش آموز,«من یه دانش‌ آموز معمولی کلاس هشتم هستم که خانواده ی پولداری نداره و تنها امیدش خواهرش بود که خارج از کشوره تا بتونه منو بعدا با خودش ببره ولی الان بیشتر از یک ماهه که نتونستم با خواهرم ارتباط بگیرم و حتی صداش رو بشنوم قبلا به کمک پینترست کلی گردنبند درست میکردم و می‌فروختم ولی از وقتی که قیمت ها بالا رفته و همه چی گرون شده دیگه حتی نمیشه یه مهره ی سنگ ساده خرید.. واقعا نمیدونم با این شرایط چیکار میشه کرد»,2026-05-20 00:00:00.000 +0330
67,داوطلب کنکور,«من یه کنکوری بدبخت هستم که کل سوالاتم رو از تلگرام دانلود میکردم و چون کتاب های مورد نیاز من که همون منابع خارجی بوده رو دیگه نمیتونم دانلود کنم حتی تحصیلم هم افت کرده چت جی پی تی هم که دیگه کار نمیکنه ایرانی هم که کلان جواب های ضعیف و حتی اشتباهی میده و برای دقیق پاسخ دادنش هم باید پول بدی ولی من نمیخوام پول رو مفتی برا یه هوش مصنوعی بدم که هیچ جواب درستی نمیده نمیدونم اخرمون چی میشه»,2026-05-20 00:00:00.000 +0330
68,صاحب کسب و کار اینترنتی,«من یه مرد متاهلم که اجاره نشین هستم و کل کسب و کارم تو اینستا بود(آنلاین شاپ داشتم) الان از موقعی که اینترنتا قطع شده هیچی کاسبی نکردم صاحبخونه امم گفته باید تخلیه بکنم اخه این انصافه خدا؟»,2026-05-20 00:00:00.000 +0330
69,دانش آموز,"«من ۴ سال هست که دارم میرم کلاس و برای تقویت زبانم از یوتیوب استفاده میکردم اهنگ های خارجی گوش میکردم و استریم میدیدم ، اینا تنها دلخوشی من بودن
اما الان زبان م هم افت کرده و دیگه دلخوشی ای ندارم»",2026-05-20 00:00:00.000 +0330
