id,occupation,experience_text,published_date
1,هنرمند,«من آرتیستم. اکثر اوقات کل روزم رو با یوتیوب گردی میگذروندم که ویدیو های آموزشی ببینم. در کنارش ادیت ،گیم پلی و پادکست گیمرهای مورد علاقم رو دنبال میکردم.. واقعا حس زنده بودن بهم میداد.. ولی الان نه تنها حس میکنم از دنیا عقب موندم بلکه هیچ امیدی به زندگی ندارم.»,2026-05-22 00:00:00.000 +0330
2,دانشجو,«سلام من دانشجو هستم وقتی که برای واحد جاری ازم خواسته شد ارائه بدم حتی لینک هایی که برای مقاله های پایه گذاشته بودن هم باز نمی شد چه برسه سایت های تخصصی .....»,2026-05-22 00:00:00.000 +0330
3,ادیتور,"«من یه ادیتورم که کل کارم و درآمدم از ادیت هایی بود که توی یوتیوب میزدم 
تازه با کلی زحمت و تلاش تونسته بودم واسه خودم سیستم و تجهیزات بخرم واسه ادیت که نت کامل قطع شد 
و الان هیچ امید و انگیزه ای ندارم واسه درست شدن وضع اینترنت»",2026-05-22 00:00:00.000 +0330
4,دانشجو,"«سلام دانشجوی مهندسی عمران ترم آخر هستم 
درس های پروژه رو برداشتم و نیاز به تحقیقات عمیق دارم 
این قطعی اینترنت واقعا به وضعیت تحصیلی من ضربه زد نمیدونم این وضع تا کی قراره ادامه داشته باشه»",2026-05-22 00:00:00.000 +0330
5,گیمر,«سلام . من یه گیمر هستم . شاید سنم پایین باشه ( ۱۵ ) ولی کل دنیام گیم بود . تنها چیزی که منو خوشحال و شاد و سرگرم نگه میداشت یه گیم بود . واسه تابستون کلی برنامه داشتم و میخواستم کانال یوتیوب بزنم که الان شده یه ارزو . کلی ارزو داشتم و میخواستم تو یوتیوب با ویدیو های گیم پلیم بترکونم ولی الان تبدیل به یک ارزو شد!.))))»,2026-05-22 00:00:00.000 +0330
6,پزشک,"«من پزشکم قبل جنگ رفت خارج از کشور ، ۱۴ سال زیر نظرشم و بیمار خاصم 
تنها راه ارتباطم باهاش تو شرایط اورژانسیم جیمیل بود 
یک ماه از این موضوع میگذره و الان خوبم ولی کسی نمیفهمه چی گذشت به من»",2026-05-22 00:00:00.000 +0330
7,دانشجو و برنامه نویس,"«سلام [نام] هستم 20 سالمه کارم طراحی وبسایت برای آنلاین شاپ هاست 
تازه داشت کارم میگرفت هر ماه یدونه نهایت دوتا پروژه میگرفتمو نسبت به سن و شرایطم در آمد قابل قبولی داشتم . بخاطر این شرایط که اینترنت نیست و آنلاین شاپ ها هم نمیتونن فعالیت کنن وبسایت رو میخوان چیکار درآمد منم قطع شده حالا زیادم به اینکه درآمدم قطع شده ناراحت نیستم اون ذوقی که بود و تازه تازه داشت کارم میگرفت اون واسم ارزش داشت .»",2026-05-22 00:00:00.000 +0330
8,رپر,«من یه رپرم و در آمدم از اینستا و اسپاتی فای بود ولی الان که اینترنت قطع شده دیگه امیدی به زندگی ندارم 💔»,2026-05-22 00:00:00.000 +0330
9,نامشخص,«من چند وقت پیش گوشیم خراب شد و تمام اطلاعاتش پرید حالا اون برنامه هایی که اکانت داشتم و می‌تونستم برگردونم رو هم به خاطر قطعی نت نمیتونم برگردونم.هعی»,2026-05-22 00:00:00.000 +0330
10,معلم,«من یک عضو ۳۰ ساله از این جامعه‌ام. هیچی از زندگی تو این کشور نفهمیدم. الانم فقط دارم روزهام رو بدون هیچ هدف و لذتی میگذرونم. با قطع شدن اینترنت حس زندانی شدن تو یه سیاهچال رو دارم که هیچکس صدای فریاد کمک‌مون رو نمی‌شنوه. زندگی من به اینترنت بستگی داشت. حداقل افسردگیم رو کمتر می‌کرد. باهاش بازی می‌کردم، فیلم می‌دیدم، درس می‌خوندم، کار می‌کردم و با دوستام ارتباط داشتم. همه اینا رو از من گرفتن!! دیگه هیچ هدفی برای زندگی ندارم. دوست دارم زودتر تموم بشه!!»,2026-05-22 00:00:00.000 +0330
